"Average greedy latency,",action_fraction/local,action_fraction/mec,action_fraction/v2v,policy/policy_loss_mean,policy/value_loss_mean,policy/approx_kl,policy/clip_fraction,policy/grad_norm,collapse/flag,mask/active_rate,mask/forced_rate,mask/all_invalid_rate,policy/invalid_action_rate,policy/argmax_masked_rate,policy/entropy_valid,critic/value_abs_max,inner_update_mode,PolicyExecTime,EnvExecTime,AverageDiscountedReturn,AverageReturn,NumTrajs,StdReturn,MaxReturn,MinReturn,"Average energy,",energy/average_energy_scope,energy/requester_joules,energy/mobile_joules,energy/system_joules,energy/primary_joules,energy/primary_scope,Itr,"Average reward, ","Average latency,",split_role,seed,split_version,support_graphs_per_meta_task,support_trajectories_per_meta_task,query_graph_count,k_steps,outer_update_count,entropy_coefficient,value_clip_epsilon,ppo_batch_size_trajectories,meta_batch_size_distributions,inner_learning_rate,outer_learning_rate,outer_update_method,hyperparameter_provenance.policy,validation_query_composite_objective_k0,validation_query_composite_objective,validation_query_mean_latency_k0,validation_query_mean_latency_k3,checkpoint_selection_metric,objective/J,objective/latency_norm_mean,objective/soft_tardiness_norm_mean,objective/energy_violation_rate,objective/c_E_max,objective/c_E_raw_max,objective/c_H,objective/c_F,objective/hard_miss_total,objective/hard_task_total,objective/firm_miss_total,objective/firm_task_total,objective/feasible,objective/total_violation,objective/n_graphs,checkpoint_is_best_val,validation/validation_gap_to_all_mec,validation/validation_gap_to_greedy,validation/validation_all_mec_latency,validation/validation_greedy_latency,validation/task_fraction/local,validation/task_fraction/mec,validation/task_fraction/v2v,validation/co_location_rate,validation/cross_location_edges,validation/total_edges,validation/utilization_mean,validation/utilization_max
623.5231310930933,0.326375,0.31984,0.353785,-0.020807921886444092,0.03533250465989113,0.04440139252692461,0.4690833359956742,0.6833072607715925,0.0,0.0,0.0,0.0,0.0,0.0,1.0961478823802395,0.31908559799194336,publication,35.130046367645264,51.52856206893921,0.5014559837699536,0.5383567837621634,10000,0.18190734021281063,1.0183547014558139,-0.6142831744838113,11905.529968834802,mobile,2061.048481492308,11905.529968834775,157386.89817446176,157386.89817446176,system,0,0.5383567837621634,948.8351500598252,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,1,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,0.5324793731253481,0.6053546877956557,982.8067559386349,893.309766802979,validation_query_composite_objective,0.6410331632683633,0.6410331632683633,0.0,0.0,0.0,-0.9999996186107563,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,1,263.0299862710617,266.708097784472,630.2797805319173,626.601669018507,0.42025,0.42487499999999984,0.15487500000000007,0.39459184386914425,18.185,29.9675,0.393397994836244,0.8401124899003364
617.191951992389,0.39308,0.379555,0.227365,-0.025782819837331772,0.04041867330670357,0.033839722412327924,0.3959166675806046,0.7055494621396065,0.0,0.0,0.0,0.0,0.0,0.0,1.0699714076564673,0.20711633563041687,publication,35.35682654380798,49.15209150314331,0.5401593389564486,0.5852672386590865,10000,0.14082759083460772,0.9907841215967879,-0.5849856695409525,9133.068317527153,mobile,2274.815574411756,9133.068317527155,155992.32744990112,155992.32744990112,system,1,0.5852672386590865,910.1180257810142,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,2,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585.2707312858854,0.43742,0.42029,0.14229,0.08150429278612137,0.05973448604345322,0.03263178560882807,0.4207500005761783,0.8121984029809635,0.0,0.0,0.0,0.0,0.0,0.0,0.9979617205688133,0.22815079987049103,publication,35.49271082878113,49.478981494903564,0.5513606091206917,0.6005187616852883,10000,0.13730473714951288,0.9929983132553131,-0.4367121020582361,8198.245337555056,mobile,2210.9667349063975,8198.245337555081,162404.10153638473,162404.10153638473,system,2,0.6005187616852883,899.740851647922,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,3,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605.7362087066786,0.45169,0.445815,0.102495,0.05594215914607048,0.046426065266132355,0.03811692452679079,0.47183333213130635,0.7441319157679877,0.0,0.0,0.0,0.0,0.0,0.0,0.9391524558351383,0.319815993309021,publication,35.44543981552124,48.25889253616333,0.5740901253937817,0.6250317563354272,10000,0.13134828987444125,1.038359060661163,-0.19493379385051646,7433.796568860094,mobile,2171.615944618551,7433.796568860111,165071.51005617867,165071.51005617867,system,3,0.6250317563354272,857.2569700669247,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,4,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605.3485033679281,0.447645,0.46098,0.091375,0.060992322862148285,0.05082298815250397,0.026499076994756853,0.3687499950329463,0.568737810353438,0.0,0.0,0.0,0.0,0.0,0.0,0.9192518364773723,0.33916568756103516,publication,35.41406178474426,48.55973148345947,0.5919136361842698,0.6435340236100981,10000,0.12235038845443069,1.0075552527000613,-0.2836423583853269,6949.178935038402,mobile,2130.712437997792,6949.178935038395,176190.05571039376,176190.05571039376,system,4,0.6435340236100981,832.8442332486807,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,5,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.1799012578556,0.431975,0.478505,0.08952,0.052061777561903,0.07174459099769592,0.02185771204531193,0.3352499964336554,0.60775714914004,0.0,0.0,0.0,0.0,0.0,0.0,0.9159842326308429,0.305850088596344,publication,35.02772498130798,49.43796753883362,0.594148221181296,0.6478723413979192,10000,0.12874697385929007,1.0644161965683658,-0.2416583669940222,7116.176907169038,mobile,2094.7023294772425,7116.176907169026,185270.16289108762,185270.16289108762,system,5,0.6478723413979192,850.7622218951116,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,6,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615.2842793975285,0.406445,0.49327,0.100285,-0.042883217334747314,0.05698954313993454,0.017724789089212812,0.2990833327174187,0.48980199346939723,0.0,0.0,0.0,0.0,0.0,0.0,0.9289482772523325,0.2621297240257263,publication,35.34987998008728,49.4190948009491,0.6015249372718681,0.6525015745298217,10000,0.13330217089354907,1.0320432071329801,-0.2262743016174995,7742.708063588886,mobile,2120.415477724784,7742.708063588875,191700.17509978215,191700.17509978215,system,6,0.6525015745298217,840.9099840966388,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,7,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603.9421731752532,0.38615,0.50594,0.10791,-0.0008094785152934492,0.055831532925367355,0.01424867754879718,0.233749996079132,0.4528000483910244,0.0,0.0,0.0,0.0,0.0,0.0,0.9374788054660318,0.21412184834480286,publication,35.34621548652649,48.784696102142334,0.6081648599188595,0.6613832647298789,10000,0.13423938971812738,1.0393942447908555,-0.22741107768692048,6881.156891178804,mobile,2030.0065377889641,6881.156891178818,198588.9879476155,198588.9879476155,system,7,0.6613832647298789,826.046285761077,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,8,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.3885777622087,0.36347,0.52252,0.11401,0.0015366136794909835,0.0526852086186409,0.01599377746072908,0.23141666551431017,0.4259441604216894,0.0,0.0,0.0,0.0,0.0,0.0,0.9372222631430054,0.2174387276172638,publication,35.37801384925842,49.74919033050537,0.5944360152731629,0.6466366879395662,10000,0.13928099369912322,1.06324885184787,-0.39812595090538516,6321.214457840231,mobile,1934.2236515706818,6321.214457840199,194327.03361049184,194327.03361049184,system,8,0.6466366879395662,806.1897541663496,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,9,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618.6568553879873,0.342855,0.53865,0.118495,0.024560153484344482,0.04944496974349022,0.01958554646310707,0.2663333348929882,0.4839439198374748,0.0,0.0,0.0,0.0,0.0,0.0,0.9335485089272937,0.22246263921260834,publication,34.65651273727417,49.55597805976868,0.619316610665759,0.6717865631354811,10000,0.1340239666055456,1.016642188018042,-0.14038752632479623,6423.098711837823,mobile,1977.4353634656768,6423.0987118378425,204417.45384830981,204417.45384830981,system,9,0.6717865631354811,800.0341186540317,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,10,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
